model,horizon,mae,rmse,wape,mape,r2,mean_bias
Previous Week,24,1128.8615297154106,1576.8116664114737,23.038247429849935,26.248126402669552,-0.4975693716322709,-310.4134978646267
LightGBM,1,374.9443349068821,503.37627128094334,7.732506260407629,7.747196010484816,0.851347696718946,-177.60680500689173
LightGBM,2,376.2987660107766,505.39966971470034,7.763373864267292,7.7678309934713035,0.8496432091886148,-176.02977629167444
LightGBM,3,384.20325720727817,512.7946908414309,7.926000477857523,7.942650259467668,0.8451529085349496,-176.34102426850828
LightGBM,4,390.2122803469566,519.4768370780364,8.050073576245783,8.105711440941949,0.8411015693080736,-176.1080167763718
LightGBM,5,393.04662113228926,520.3855090892879,8.108478897142394,8.171520435008247,0.840571665918121,-177.6423920237511
LightGBM,6,392.3547223853497,518.847314487802,8.094246856765313,8.108359032267888,0.8414478628907913,-179.57963054088086
LightGBM,7,393.62360961651,520.412470818102,8.119841738537508,8.098607073611557,0.8402620159580836,-187.5494099456423
LightGBM,8,395.9414457553124,521.9654210457488,8.165321114471476,8.13832328542997,0.8387835201817898,-194.19701487016246
LightGBM,9,398.16702221598587,524.9601703645116,8.207195163590864,8.163848252178997,0.8362496243044751,-201.2868074086155
LightGBM,10,401.143975416523,529.1966022970489,8.263169554340836,8.223686958363686,0.8329558749066597,-207.68765251633872
LightGBM,11,407.57668694280966,536.028253108696,8.389375441396329,8.379738078019544,0.8280787672777357,-215.1983389970594
LightGBM,12,412.9700102470199,543.145245870622,8.493612229678636,8.49492596570874,0.8231233970231637,-222.96848580387632
LightGBM,13,416.8855783968394,548.4859871952154,8.566845752408723,8.555011980124885,0.8194227908679729,-229.81819210075776
LightGBM,14,419.27588209904957,553.3820400915193,8.609987135858056,8.555301131627049,0.8160817636057829,-236.14597107750765
LightGBM,15,420.47254538790935,557.7814101155909,8.63087946184991,8.547982067170135,0.8130186352966887,-239.30380694748305
LightGBM,16,418.4952009004534,557.1124833216087,8.587908761167444,8.494198294230857,0.8133519428841487,-241.63514047115572
LightGBM,17,420.8940620863483,559.047894982279,8.633454432678658,8.5296761120834,0.8123478944071447,-244.0479163525876
LightGBM,18,422.304834544238,562.359186239038,8.657674554098168,8.535960097127198,0.8106026352817175,-244.61511945190915
LightGBM,19,424.84206311825415,565.3119514469748,8.704334132287832,8.594012670551649,0.809068022243501,-245.04072158585547
LightGBM,20,431.43968847154036,571.5870418663126,8.833228345127536,8.773112273307849,0.8052598318624605,-246.24654155013152
LightGBM,21,437.9215784360687,579.5689981089083,8.96135860234406,8.919022240391097,0.8001319954871222,-247.7772814282146
LightGBM,22,444.90449332682715,589.281395152808,9.101479531023301,9.070642587829585,0.7937398399153422,-248.8593556349658
LightGBM,23,452.0877470201615,599.3587378785378,9.246154092183849,9.22897011404611,0.7869500108164244,-248.90453428996054
LightGBM,24,457.77889347674505,610.911737833722,9.35768229153669,9.37749213363736,0.7788928325649989,-251.28089025531924
TimesFM Zero-Shot,1,5885.153380056655,6074.665770535055,121.36997713553646,122.1852231031746,-20.64865601372176,-5885.153380056655
TimesFM Zero-Shot,2,4308.671540164052,4476.9287425460425,88.89167609883673,88.61391925589007,-10.79813887749114,-4308.671540164052
TimesFM Zero-Shot,3,7479.274523747124,7663.587763809496,154.295239140217,157.86300957436217,-33.584402958922084,-7479.274523747124
TimesFM Zero-Shot,4,4185.084175318263,4377.195618964453,86.33822468154591,85.09099887993061,-10.281819436087941,-4185.084175318263
TimesFM Zero-Shot,5,6481.251874080344,6655.785031934129,133.7070241098881,136.17066610101614,-25.080366641236427,-6481.251874080344
TimesFM Zero-Shot,6,5246.12816546617,5431.9718901524375,108.22720867319444,108.22933854182679,-16.378327665611373,-5246.12816546617
TimesFM Zero-Shot,7,1800.289337655843,2028.0503113556153,37.137163900264234,35.906725901174,-1.4258852739413888,-1710.467570919509
TimesFM Zero-Shot,8,5317.508937191264,5511.106713743945,109.66057851915608,109.55944858362162,-16.972297919857812,-5317.508937191264
TimesFM Zero-Shot,9,6890.919391568758,7083.9411646317385,142.0386851437919,144.20779194964993,-28.81806713011929,-6890.919391568758
TimesFM Zero-Shot,10,6052.450434974703,6223.696411777366,124.6744990037807,126.37119298657824,-22.10435833850058,-6052.450434974703
TimesFM Zero-Shot,11,7115.84230199463,7293.235751643713,146.4693015220949,149.58263504157884,-30.82692337674973,-7115.84230199463
TimesFM Zero-Shot,12,4391.459178756064,4588.698849386629,90.3197580001178,89.23973925018035,-11.624597378046445,-4391.459178756064
TimesFM Zero-Shot,13,5870.323717713178,6033.21386305177,120.6329995864798,122.31151527674795,-20.848886264200466,-5870.323717713178
TimesFM Zero-Shot,14,4576.180926750285,4783.221846070335,93.97358778049369,92.8999474129053,-12.740917163536675,-4576.180926750285
TimesFM Zero-Shot,15,6574.885110199188,6742.294115450872,134.96015728990972,137.5261186429822,-26.32031111223783,-6574.885110199188
TimesFM Zero-Shot,16,4628.013420091839,4810.678926016904,94.97111773728861,94.47383450781987,-12.917154169557472,-4628.013420091839
TimesFM Zero-Shot,17,5832.584922156211,5995.581468559769,119.63902721876273,121.34910237291861,-20.583308879922132,-5832.584922156211
